file_id,type,number_affix,date,area,param,step,request_time
pf_2019-05-01_nontem.grib,pf,,2019-05-01/to/2019-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-05-01_tem.grib,cf,#,2019-05-01/to/2019-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-05-01_nontem.grib,pf,,2019-05-01/to/2019-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-06-01_tem.grib,cf,#,2019-06-01/to/2019-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-06-01_nontem.grib,pf,,2019-06-01/to/2019-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-06-01_tem.grib,cf,#,2019-06-01/to/2019-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-06-01_nontem.grib,pf,,2019-06-01/to/2019-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-07-01_tem.grib,cf,#,2019-07-01/to/2019-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-07-01_nontem.grib,pf,,2019-07-01/to/2019-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-07-01_tem.grib,cf,#,2019-07-01/to/2019-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-07-01_nontem.grib,pf,,2019-07-01/to/2019-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-08-01_tem.grib,cf,#,2019-08-01/to/2019-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-08-01_nontem.grib,pf,,2019-08-01/to/2019-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-08-01_tem.grib,cf,#,2019-08-01/to/2019-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-08-01_nontem.grib,pf,,2019-08-01/to/2019-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-09-01_tem.grib,cf,#,2019-09-01/to/2019-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-09-01_nontem.grib,pf,,2019-09-01/to/2019-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-09-01_tem.grib,cf,#,2019-09-01/to/2019-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-09-01_nontem.grib,pf,,2019-09-01/to/2019-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-10-01_tem.grib,cf,#,2019-10-01/to/2019-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-10-01_nontem.grib,pf,,2019-10-01/to/2019-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-10-01_tem.grib,cf,#,2019-10-01/to/2019-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-10-01_nontem.grib,pf,,2019-10-01/to/2019-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-11-01_tem.grib,cf,#,2019-11-01/to/2019-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-11-01_nontem.grib,pf,,2019-11-01/to/2019-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-11-01_tem.grib,cf,#,2019-11-01/to/2019-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-11-01_nontem.grib,pf,,2019-11-01/to/2019-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-12-01_tem.grib,cf,#,2019-12-01/to/2019-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-12-01_nontem.grib,pf,,2019-12-01/to/2019-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-12-01_tem.grib,cf,#,2019-12-01/to/2019-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-12-01_nontem.grib,pf,,2019-12-01/to/2019-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-01-01_tem.grib,cf,#,2020-01-01/to/2020-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-01-01_nontem.grib,pf,,2020-01-01/to/2020-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-01-01_tem.grib,cf,#,2020-01-01/to/2020-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
